"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dashboard\interfaces\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dashboard\spec\dashboard.controller.spec.ts", "TypeScript", 16, 0, 5, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dashboard\spec\dashboard.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\dato.controller.ts", "TypeScript", 92, 0, 8, 100
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\dato.module.ts", "TypeScript", 11, 0, 2, 13
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\dato.service.ts", "TypeScript", 48, 1, 8, 57
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\dto\create-dato.dto.ts", "TypeScript", 22, 0, 4, 26
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\dto\index.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\dto\update-dato.dto.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\entities\dato.entity.ts", "TypeScript", 13, 0, 5, 18
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\entities\entities\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\entities\entities\productor.entity.ts", "TypeScript", 22, 0, 8, 30
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\entities\entities\update.productor.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\entities\index.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\entities\update.dato.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\interfaces\dato.interface.ts", "TypeScript", 5, 0, 1, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\interfaces\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\spec\dato.controller.spec.ts", "TypeScript", 16, 0, 5, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\dato\spec\dato.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\desicion.controller.ts", "TypeScript", 93, 0, 7, 100
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\desicion.module.ts", "TypeScript", 9, 0, 2, 11
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\desicion.service.ts", "TypeScript", 53, 0, 8, 61
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\dto\create-desicion.dto.ts", "TypeScript", 16, 0, 4, 20
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\dto\index.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\dto\update-desicion.dto.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\entities\desicion.entity.ts", "TypeScript", 12, 0, 5, 17
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\entities\index.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\entities\update.desicion.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\interfaces\desicion.interface.ts", "TypeScript", 5, 0, 1, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\interfaces\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\spec\desicion.controller.spec.ts", "TypeScript", 16, 0, 5, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\desicion\spec\desicion.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\documento.controller.ts", "TypeScript", 93, 0, 7, 100
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\documento.module.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\documento.service.ts", "TypeScript", 53, 0, 8, 61
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\dto\create-documento.dto.ts", "TypeScript", 21, 1, 5, 27
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\dto\index.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\dto\update-documento.dto.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\entities\documento.entity.ts", "TypeScript", 15, 0, 6, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\entities\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\entities\update.info.dato.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\interfaces\documento.interface.ts", "TypeScript", 6, 0, 1, 7
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\interfaces\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\spec\documento.controller.spec.ts", "TypeScript", 16, 0, 5, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\documento\spec\documento.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\externaldata\dto\create-externaldatum.dto.ts", "TypeScript", 33, 0, 7, 40
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\externaldata\dto\update-externaldatum.dto.ts", "TypeScript", 5, 0, 2, 7
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\externaldata\entities\externaldatum.entity.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\externaldata\externaldata.controller.ts", "TypeScript", 66, 0, 7, 73
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\externaldata\externaldata.module.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\externaldata\externaldata.service.ts", "TypeScript", 103, 0, 9, 112
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\externaldata\spec\externaldata.controller.spec.ts", "TypeScript", 16, 0, 5, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\externaldata\spec\externaldata.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\dto\create-ficha.dto.ts", "TypeScript", 39, 1, 6, 46
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\dto\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\dto\update-ficha.dto.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\entities\ficha.entity.ts", "TypeScript", 17, 0, 7, 24
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\entities\index.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\entities\update.productor.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\ficha.controller.ts", "TypeScript", 123, 12, 10, 145
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\ficha.module.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\ficha.service.ts", "TypeScript", 214, 0, 26, 240
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\interfaces\ficha.interface.return.ts", "TypeScript", 12, 0, 2, 14
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\interfaces\ficha.interface.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\interfaces\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\spec\ficha.controller.spec.ts", "TypeScript", 16, 0, 5, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\ficha\spec\ficha.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\dto\create-finca.dto.ts", "TypeScript", 39, 0, 7, 46
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\dto\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\dto\update-finca.dto.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\entities\finca.entity.ts", "TypeScript", 20, 0, 8, 28
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\entities\index.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\entities\update.productor.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\finca.controller.ts", "TypeScript", 85, 0, 7, 92
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\finca.module.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\finca.service.ts", "TypeScript", 56, 0, 8, 64
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\interfaces\finca.interface.ts", "TypeScript", 8, 0, 1, 9
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\finca\interfaces\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\dto\create-info-dato.dto.ts", "TypeScript", 20, 0, 5, 25
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\dto\index.ts", "TypeScript", 2, 0, 1, 3
